CURRENT_PUBLISHER,PUBLISHER,SOURCE,IGNORE
South Central WCC Collaborative PPI Programme,South Central WCC Collaborative PPI Programme,,
South East Coast Quality Observatory,South East Coast Quality Observatory,,
South East Public Health Observatory (SEPHO),South East Public Health Observatory (SEPHO),,
South London and Maudsley NHS Trust; Institute of Psychiatry,South London and Maudsley NHS Trust,,
South Staffordshire Primary Care Trust,South Staffordshire Primary Care Trust,,
South Tyneside Children and Young People's Alliance,South Tyneside Children and Young People's Alliance,,
South West London and St George's Mental Health NHS Trust,South West London and St George's Mental Health NHS Trust,,
South West London HIV & GUM Clinical Services Network,South West London HIV and GUM Clinical Services Network,,
South West Public Health Observatory (SWPHO),South West Public Health Observatory (SWPHO),,
South West Transplant Centre,South West Transplant Centre,,
South Worcestershire PCT,South Worcestershire PCT,,
Southern Communication Journal,Taylor and Francis Group,Southern Communication Journal,
Southern Illinois University,Southern Illinois University,,
Southwark Primary Care Trust,Southwark Primary Care Trust,,
SPARC,SPARC,,
Speakability,Speakability,,
Special care in dentistry,Special Care Dentistry Association,Special Care in Dentistry,
Spiked,Spiked,,
Spinal Cord,Stockton Press,Spinal Cord,
Spine,Lippincott Williams and Wilkins,Spine,
The Spine Journal,Elsevier,Spine Journal,
Sport England,Sport England,,
Sports Medicine,Adis International,Sports Medicine,
"Spotting the Sick Child, OCB Media",OCB Media,Spotting the Sick Child,
Springer,Springer,,
Springer Berlin/Heidelberg,Springer,,
Springer Milan,Springer,,
Springer Netherlands,Springer,,
SpringerLink,Springer,,
Springer-Verlag,Springer,,
Springer-Verlag GmbH,Springer,,
Springer-Verlag Heidelberg,Springer,,
Springer-Verlag London Ltd,Springer,,
SSRG,,,1
"St Bartholomew School of Nursing and Midwifery, City University [Unpublished thesis]","St Bartholomew School of Nursing and Midwifery, City University London",,
St Christopher's Hospice Library,St Christopher's Hospice Library,,
St Emlyns virtual hospital,St Emlyns Virtual Hospital,,
St George's Hospital and Medical School,"St George's, University of London",,
"St Helier Hospital, Surrey",Epsom and St Helier University Hospitals NHS Trust,,
"St Thomas' Hospital, London",Guy's and St Thomas' NHS Foundation Trust,,
Staffordshire University,Staffordshire University,,
Standing Committee of European Doctors (CPME) and Eucomed,Standing Committee of European Doctors (CPME) and Eucomed,,
Standing Committee on Consumers in NHS Research,Standing Committee on Consumers in NHS Research,,
Stansted News Limited,,,1
StartHere,StartHere,,
"State Government of Victoria, Australia","State Government of Victoria, Australia",,
State of Victoria Department of Sustainability and the Environment,State of Victoria Department of Sustainability and the Environment,,
Stationery Office,The Stationery Office,,
Stationery Office (Dublin),Stationery Office (Dublin),,
Statistics in Medicine,Wiley-Blackwell,Statistics in Medicine,
Steinkopff,Steinkopff,,
Step Two Designs Pty Ltd,Step Two Designs Pty Ltd,,
Steve Denning,,,1
Stockholm Network,Stockholm Network,,
Stockton Press,Stockton Press,,
Stop TB Partnership,Stop TB Partnership,,
Stop TB Partnership's New Diagnostic Working Group,Stop TB Partnership's New Diagnostic Working Group,,
Strategic Management Journal,Wiley-Blackwell,Strategic Management Journal,
Strengthening Primary Health care through Primary Care and Public Health collaboration,Strengthening Primary Health Care through Primary Care and Public Health collaboration,,
"Stritch School of Mediine, Loyola University","Stritch School of Medicine, Loyola University",,
Stroke,American Heart Association,Stroke,
Stroke Alliance for Europe,Stroke Alliance for Europe,,
Stroke Association,Stroke Association,,
The Stroke Association,Stroke Association,,
Stroke Research Network,Stroke Research Network,,
Stroke: a Journal of cerebral circulation,Lippincott Williams and Wilkins,Stroke: a Journal of cerebral circulation,
Stuart Strange Vasculitis Trust,Stuart Strange Vasculitis Trust,,
"studentBMJ, BMJ Publishing Group",BMJ Group,studentBMJ,
Studio One Consultancy,Studio One Consultancy,,
Study of Outcomes of Childhood Stoke (SOCS),Study of Outcomes of Childhood Stoke (SOCS),,
"Substance Abuse Treatment, Prevention, and Policy",BioMed Central,"Substance Abuse Treatment, Prevention, and Policy",
Substance abuse: the official publication of the Association for Medical Education and Research in Substance Abuse,Taylor and Francis Group,Substance abuse ,
Substance use and misuse,Informa Healthcare,Substance use & misuse,
Suffolk Family Carers,Suffolk Family Carers,,
"Sullivan and Sullivan, Inc","Sullivan and Sullivan, Inc",,
Sunday Telegraph,,,1
Sunderland Teaching Primary Care Trust,Sunderland Teaching Primary Care Trust,,
Support Planning,Support Planning,,
"Supporting People, Department for Communities and Local Government","Supporting People, Department for Communities and Local Government",,
SureStart,Sure Start,,
"Surgery, Elsevier",Elsevier,Surgery,
Surgical Materials Testing Laboratory & Medical Education Partnership,Surgical Materials Testing Laboratory (SMTL),,
Surgical Materials Testing Laboratory (SMTL),Surgical Materials Testing Laboratory (SMTL),,
surgical-tutor.org.uk,surgical-tutor.org.uk,,
Surginet,Surginet,,
Surrey and Sussex Healthcare NHS Trust,Surrey and Sussex Healthcare NHS Trust,,
Surveys of Ophthalmology,Elsevier,Survey of Ophthalmology,
Sussex HIS,Sussex HIS,,
Sustainable Development Commission,Sustainable Development Commission,,
Sustainable Procurement Cupboard,Sustainable Procurement Cupboard,,
Sustrans,Sustrans,,
Sveiby Knowledge Associates,Sveiby Knowledge Associates,,
Swedish Council on Technology Assessment in Health Care,Swedish Council on Technology Assessment in Health Care,,
Swedish National Institute of Public Health,Swedish National Institute of Public Health,,
Swiss Agency for Development and Cooperation SDC,Swiss Agency for Development and Cooperation SDC,,
Syncope Trust and Reflex Anoxic Seizures,Syncope Trust and Reflex Anoxic Seizures,,
Talkback & Bucks LD Service,Talkback and Bucks LD Service,,
Talking Point,Talking Point,,
Taxpayers' Alliance,Taxpayers' Alliance,,
Taylor & Francis,Taylor and Francis Group,,
TBM Consulting group,TBM Consulting group,,
Teenage Pregnancy Independent Advisory Group,Teenage Pregnancy Independent Advisory Group,,
"Telemedicine and E-health Information Service, University of Portsmouth","Telemedicine and E-health Information Service, University of Portsmouth",,
Termedia & Banach,Termedia and Banach,,
Terrence Higgins Trust,Terrence Higgins Trust,,
The Terrence Higgins Trust,Terrence Higgins Trust,,
Texas Children's Hospital,Texas Children's Hospital,,
Texas Voice Centre,Texas Voice Centre,,
TFPL,TFPL,,
Thames Valley Health Libraries Network,Thames Valley Health Libraries Network,,
Thames Valley Primary Care Trusts,Thames Valley Primary Care Trusts,,
"The ABNF journal : official journal of the Association of Black Nursing Faculty in Higher Education, Inc",Tucker Publications,ABNF journal (association of Black Nursing Faculty),
The Daily Telegraph,,,1
The Evening Standard,,,1
The Guardian,,,1
The Independent,,,1
The Information Centre,NHS Information Centre for Health and Social Care,,
The Information Centre for Health and Social Care,NHS Information Centre for Health and Social Care,,
"The Information Centre for Health and Social Care, The Royal College of Physicians, and The Health Care Commission",NHS Information Centre for Health and Social Care,,
The Knee,Elsevier,The Knee,
The Oncologist,AlphaMed Press,The Oncologist,
The Scotsman,,,1
The Stationery Office,The Stationery Office,,
The Sunday Times,,,1
The Telegraph,,,1
The Times,,,1
Theoretical biology & medical modelling,BioMed Central,Theoretical Biology and Medical Modelling,
"Therapeutics and Clinical Risk Management, Dove Medical Press",Dove Medical Press,Therapeutics and Clinical Risk Management,
Therapeutische Umschau,Verlag Hans Huber,Therapeutische Umschau,
Thieme Medical Publishers,Thieme ,,
Thieme Stratton,Thieme ,,
Third Joint Task Force of European and other Societies on Cardiovascular Disease Prevention in Clinical Practice,Third Joint Task Force of European and other Societies on Cardiovascular Disease Prevention in Clinical Practice,,
Thomas Land Publishers,Thomas Land Publishers,,
Thomas Pocklington Trust,Thomas Pocklington Trust,,
Thomson Reuters,Thomson Reuters,,
Thorax,BMJ Group,Thorax,
Thrombosis Research,Elsevier,Thrombosis Research,
Thyroid,"Mary Ann Liebert, Inc",Thyroid,
Tidsskrift for den Norske Laegeforening,Norwegian Medical Association,Tidsskrift for den Norske Laegeforening,
The Tizard Centre,Tizard Centre,,
Tizard Learning Disability Review,Pier Professional,Tizard Learning Disability Review,
Tobacco Control,Tobacco Control,,
Together : working for wellbeing,Together : working for wellbeing,,
Tohoku Journal of Experimental Medicine,"Japan Science and Technology Information Aggregator, Electronic",Tohoku Journal of Experimental Medicine,
Topics in Geriatric Rehabilitation,Lippincott Williams and Wilkins,Topics in Geriatric Rehabilitation,
Topics in Health Informatics Management,,Topics in Health Informatics Management,1
Tower Hamlets PCT,Tower Hamlets PCT,,
Tracheo-Oesophageal Fistula Support (TOFS),Tracheo-Oesophageal Fistula Support (TOFS),,
Trades Union Congress,Trades Union Congress,,
Transactions of the American Ophthalmological Society,American Ophthalmological Society,Transactions of the American Ophthalmological Society,
Transactions of the Royal Society of Tropical Medicine and Hygiene,Elsevier,Transactions of the Royal Society of Tropical Medicine and Hygiene,
Transfusion,Wiley-Blackwell,Transfusion,
Trans-Pennine palliative care research meeting,,,1
Transplant international : official journal of the European Society for Organ Transplantation,European Society for Organ Transplantation,Transplant international ,
Transplantation,Lippincott Williams and Wilkins,Transplantation,
Transportation Research Board. Instituteof Medicine of the National Academies,Institute of Medicine of the National Academies,Transportation Research Board,
Trauma Audit and Research Network,Trauma Audit and Research Network,,
TRAUMA.ORG,TRAUMA.ORG,,
Travel medicine and infectious disease,Elsevier,Travel Medicine and Infectious Disease,
"Trends in Amplification, Sage",Sage Publications,Trends in Amplification,
Trent Focus,Trent Focus,,
Trent Institute for Health Services Research,Trent Institute for Health Services Research,,
TRIADD,TRIADD,,
Trials,Trials,,
Tribal,Tribal,,
Tribal Newchurch,Tribal Newchurch,,
Tricordant,Tricordant,,
TRIP Database,,,1
TrueBlue2 Consultancy,TrueBlue2 Consultancy,,
TrusTECH,TrusTECH,,
Tuberous Sclerosis Alliance (US),Tuberous Sclerosis Alliance (US),,
Tuberous Sclerosis Association (TSA),Tuberous Sclerosis Association (TSA),,
Turning Point,Turning Point,,
Turning Point/Addaction,Turning Point,,
Twyford Consulting,Twyford Consulting,,
U.S. Agency for Healthcare Research and Quality (AHRQ),Agency for Healthcare Research and Quality (AHRQ),,
UC Davis Dermatology,UC Davis Dermatology,,
Ugeskrift for laeger,Den Almindelige Danske Laegeforening,Ugeskrift for laeger,
UK Blood & Tissue Services,UK Blood and Tissue Services,,
UK CKD eGuide,UK CKD eGuide,,
UK Clinical Research Collaboration,UK Clinical Research Collaboration,,
UK Clinical Research Network,UK Clinical Research Network,,
UK Coalition Against Poverty,UK Coalition Against Poverty,,
UK Collaborative Study of Newborn Screening,,,1
UK Drug Policy Commission,UK Drug Policy Commission,,
UK EPS Network,UK EPS Network,,
"UK Genetic Testing Network, Bexley Care Trust","UK Genetic Testing Network, Bexley Care Trust",,
UK Gout Society,UK Gout Society,,
UK Inquiry into Mental Health and Well-Being in Later Life,UK Inquiry into Mental Health and Well-Being in Later Life,,
UK Lung Cancer Coalition,UK Lung Cancer Coalition,,
UK Mastocytosis Support Group,UK Mastocytosis Support Group,,
UK Medicines Information (UKMi),UK Medicines Information (UKMi),,
UK National Screening Committee (NSC),,,
UK Newborn Screening Programme Centre,UK Newborn Screening Programme Centre,,
